trial_number,loss,latent_dim,int1_dim,int2_dim,int3_dim,int4_dim,dropout_rate,kl_beta,alpha_lrelu,momentum,initial_lr,decay_steps,decay_rate
80.0,0.1689838171005249,49.0,245.0,112.0,35.0,0.0,0.2942524239741312,1.0,0.14025863570223224,0.8581608204952952,0.013745143147938711,170.0,1.1553715581455122
81.0,0.16981516778469086,45.0,249.0,118.0,62.0,0.0,0.32002086294760684,1.0,0.11934156390117069,0.835902174108521,0.009525014173364158,175.0,1.1162774901461294
82.0,0.17425820231437683,47.0,236.0,122.0,41.0,0.0,0.2732291521378945,1.0,0.09873648195116146,0.8193331541894247,0.007904355700222226,160.0,1.093483494430342
83.0,0.16310688853263855,46.0,250.0,114.0,26.0,0.0,0.30623266675004546,1.0,0.1785040579154849,0.870253039816388,0.006297176360502723,167.0,1.1405997225194373
84.0,0.1693516969680786,50.0,212.0,122.0,56.0,0.0,0.32875606079001574,1.0,0.2278852254161851,0.8000306624334764,0.012170783642765958,185.0,1.0713418766895921
85.0,0.1567322164773941,15.0,244.0,108.0,0.0,0.0,0.2893178084135672,1.0,0.2059003861480749,0.7757487295103994,0.00990723622940941,51.0,1.1306773829449144
86.0,0.1760411411523819,48.0,200.0,140.0,21.0,10.0,0.20081221676819389,1.0,0.15337000553253693,0.8893203042732369,0.004500841803475169,102.0,1.112011187680942
87.0,0.1706058830022812,43.0,261.0,200.0,34.0,79.0,0.2525543100985942,1.0,0.2548779959013699,0.8434697214285429,0.005379109229027273,157.0,1.1463339106355024
88.0,0.16881227493286133,41.0,250.0,123.0,50.0,0.0,0.2266364115714999,1.0,0.215733112506619,0.7539829639350248,0.007765230824810189,173.0,1.038406637541412
89.0,0.16980023682117462,46.0,306.0,147.0,45.0,47.0,0.26370199628405094,1.0,0.19387796975285168,0.8582385416376341,0.0191496458263272,191.0,1.0278916959289899
90.0,0.15519657731056213,49.0,233.0,120.0,30.0,0.0,0.33936579660560345,1.0,0.11420749350975377,0.7197216659992963,0.015682092358770976,180.0,1.0511617293319613
91.0,0.176953986287117,49.0,240.0,83.0,59.0,0.0,0.2654934515109334,1.0,0.18411959634838235,0.7872311967181644,0.0027856872721459735,164.0,1.1240323432292423
92.0,0.1768946796655655,25.0,223.0,89.0,49.0,0.0,0.24381562508283577,1.0,0.178881404474664,0.7939282547408156,0.0038951463653654136,123.0,1.1036131235304074
93.0,0.16187816858291626,47.0,251.0,42.0,62.0,0.0,0.278638781276699,1.0,0.16161056325406742,0.8318192613568245,0.011471473214278872,168.0,1.096152276427435
94.0,0.16466853022575378,48.0,240.0,73.0,39.0,0.0,0.3008228552643872,1.0,0.20701239738511612,0.8076750160740531,0.006328893901651782,163.0,1.0823810839754902
95.0,0.17041341960430145,44.0,295.0,158.0,56.0,123.0,0.31317257366965756,1.0,0.23333073433108933,0.7367209820442419,0.008416227454531787,152.0,1.0669445313817207
96.0,0.1489616483449936,50.0,245.0,65.0,52.0,0.0,0.28778498258884877,1.0,0.13661310341284472,0.7708838053759176,0.0034418971139577636,148.0,1.0960322424731141
97.0,0.15992510318756104,50.0,245.0,117.0,0.0,0.0,0.35788606701246084,1.0,0.13402003601928936,0.7628653072994064,0.00537159713345394,160.0,1.0934456873447913
98.0,0.16232770681381226,12.0,335.0,242.0,64.0,27.0,0.3234657372098352,1.0,0.08511133352453197,0.7747791357794841,0.0032773948957141646,77.0,1.0558773734393616
