Epoch,g_loss,d_loss
1,0.1701099675773303,0.7036796954889146
2,0.013395505186746873,0.6880420985675993
3,0.004982412088706735,0.6133808940649033
4,0.0036898152195915046,0.658994662383246
5,0.002802765134551991,0.7073717438985431
6,0.0038249455595625536,0.5911118099613796
7,0.0025761415574437245,0.6243941273008075
8,0.0031176150392090516,0.6324597166644202
9,0.0029472888526802378,0.6352076402732304
10,0.002266888640911525,0.6592872776682415
11,0.0009808007281020446,0.6977655386167859
12,0.0015490746468819294,0.6800305758203778
13,0.000978028047635841,0.6933547461789752
14,0.001209276041735725,0.6876992015611558
15,0.0019881725024860648,0.6694177005972181
16,0.005359967967258796,0.6109770056274202
17,0.00446840089982346,0.5600772644319232
18,0.004204504563757736,0.5847400370098296
19,0.005955785629108533,0.540416359073586
20,0.006611204382756518,0.5239875948145276
21,0.01234287328441583,0.45507501254952143
22,0.010066725953947753,0.5729257634707859
23,0.002940083582264682,0.6561003748386626
24,0.004634661893110855,0.5766229624786074
25,0.004138970619625604,0.56175444618104
26,0.007015905532863967,0.4769741076798666
27,0.008204576740917261,0.4729441789880631
28,0.004000821300747154,0.5490305090234393
29,0.0020607928545648482,0.6693070481220881
30,0.0020325126965800005,0.6377035563900357
31,0.003131194147817229,0.5850144977134372
32,0.002839773776479036,0.5907992668568142
33,0.002247265091032854,0.6196759210692512
34,0.002110274820884187,0.6336102566075703
35,0.002819436327424935,0.5811186096970997
36,0.003705167259636616,0.5351612222573113
37,0.0022878501985114925,0.6191632146873172
38,0.00249676218917889,0.5972618531613123
39,0.0025180305916971215,0.5970951006526038
40,0.0023925405453949695,0.6008575705308763
41,0.007565435372285604,0.4638778165219322
42,0.0038478488531259315,0.5734256990845241
43,0.0018463404673624724,0.6440299133814517
44,0.0025574653617305948,0.6706896698664105
45,0.0015476646543007404,0.681346473239717
46,0.0014395959412453637,0.6856507469737341
47,0.0018336740786686451,0.6546917363764748
48,0.0024040298305899052,0.6488679945468903
49,0.009420681674595154,0.40103100642325384
50,0.004295291916822039,0.588265079354483
