trial_number,loss,layers_type,lstm_layer_0_units,lstm_layer_1_units,lstm_layer_2_units,lstm_layer_3_units,dropout_rate,initial_lr,decay_steps,decay_rate,batch_size
0,15.84326457977295,LSTM,100,25,175,175,0.36941610267143365,0.018476619535702433,225,1.0400322599942153,64
1,6.70551061630249,GRU,150,125,200,75,0.3179250536216929,0.03710158705049303,150,0.984299923242954,16
2,115.39354705810547,GRU,200,200,50,200,0.43414570459387547,0.08020161013624269,200,1.0102066801325655,16
3,3.387917995452881,LSTM,25,100,0,0,0.410571461174542,0.15300478723754526,300,0.9412592692760016,64
