trial_number,loss,timesteps,layers_type,lstm_layer_0_units,lstm_layer_1_units,lstm_layer_2_units,lstm_layer_3_units,dropout_rate,initial_lr,decay_steps,decay_rate,batch_size
0,39.4847412109375,10,LSTM,25,175,50,150,0.6,0.0008539170581141743,100,0.9373284062125525,32
1,64.65438079833984,15,LSTM,100,125,75,200,0.3,0.0003472512781209346,225,0.9035901538651846,32
