trial_number,loss,momentum,kernel_initializer,l1_factor,l2_factor,bidirectional
0,333.0096130371094,0.9236869733398607,he_normal,0.10009184909924827,0.1930288790542526,True
1,137.60162353515625,0.898624458107253,glorot_uniform,0.04685447598300564,0.035864257199253416,True
2,19.277917861938477,0.8482481789308631,he_normal,0.05880421878605317,0.1426935952035742,False
